"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"Dominican Republic","70%",3,"sandy, strawberry, coconut",2.75
"Dominican Republic","70%",3,"heavy roast, black licorice",3.25
"Nicaragua","70%",2,"high acidity, toffee, spicy",3.25
"Haiti","70%",2,"dominating roast, deep cocoa",3.25
"Guatemala","70%",2,"bright fruit, heavy roast, smooth",3.75
"Philippines","70%",2,"sticky, butterscotch, sl. Hammy",3.25
"Peru","73%",3,"powdery, complex, rubber",3
"Peru","70%",3,"sweet, pungent grape, acidic",3.5
"Vietnam","70%",2,"tart, sweet, sour, savory",2.75
"Honduras","70%",2,"woody, sweet, unrefined",2.75
"Peru","70%",2,"very sandy, spicey, sweet",3
"Madagascar","72%",NA,"cocoa, mild fruit",3.5
"Dominican Republic","73%",2,"roasty, woody, rubber off",2.75
"Bolivia","75%",2,"roasty, bitter, caramel, dairy",2.5
"Dominican Republic","68%",2,"roasty, sligt burnt, red fruit",3.25
"Madagascar","75%",2,"intense, red berry",3.5
"Dominican Republic","75%",2,"spicy, sour, off note",2.75
"Ecuador","75%",2,"intense, floral",3.5
"Tanzania","75%",2,"dry, floral, woody",3.25
"Honduras","75%",3,"wine, dried apricot",3.5
"Madagascar","75%",3,"molasses, tangy, caramel",3.5
"Peru","60%",3,"coarse, sweet, lemon",3
"Dominican Republic","63%",NA,"spicy and rich",3.75
"Dominican Republic","75%",2,"dry, coarse, hay, off",2.75
"Tanzania","75%",2,"dry, coarse, sweet, earthy",3
"Guatemala","75%",2,"dry, coarse, sour",3.25
"Nicaragua","74%",2,"creamy, woody,green, rubber",2.75
"Dominican Republic","70%",2,"tart, tangy, mild cocoa",3
"Madagascar","72%",2,"sweet, acidic, tart",3
"Tanzania","72%",2,"sandy, sweet, peach",3.25
"Venezuela","65%",4,"intense, nutty, mild rubber",3.25
"Colombia","70%",3,"spice, melon, nutty",3.75
"Nicaragua","70%",3,"roasty cocoa",3.75
"Uganda","70%",3,"nut, grain, soy milk",3
"Belize","74%",3,"roasted strawberry, bold",3.5
"Trinidad","64%",5,"nutty, vegetal, sweet",2.5
"Blend","66%",5,"slight bitter, woody",3
"Venezuela","64%",5,"modest, creamy, cocoa",3
"Madagascar","64%",5,"red berry, rich cocoa",3.5
"Blend","70%",5,"subtle, smooth, earthy, long",3.75
"Blend","85%",5,"creamy, fatty, very bitter",1.5
"Blend","85%",5,"berries, tart, bitter",2.5
"Blend","71%",5,"nutty and bitter dominate",2.75
"Blend","72%",5,"creamy, rich, licorice",3
"Venezuela","64%",5,"creamy, cherry",3.25
"Venezuela","65%",5,"sandy, vegetal, cocoa",3.75
"Madagascar","64%",5,"creamy, blueberry, raspberry",4
"Ghana","68%",5,"creamy, cocoa, bread",3.5
"Dominican Republic","64%",5,"cocoa dominates, woodsy",3.75
"Ecuador","66%",5,"rich cocoa, hot spice",3.75
"Blend","56%",5,"intense sweet, nut, orange",3.25
"Venezuela","64%",5,"creamy, honey,peanut butter",4
"Venezuela","69%",5,"green,unripened fruit,banana",4
"Blend","70%",5,"yogurt, lemon, licorice",3.5
"Dominican Republic","64%",5,"complex, herbs, fruit, dairy",3.5
"Peru","63%",5,"intense, dark berry, grapes",4
"Blend","60%",3,"intense, rich, sweet",3.25
"Ghana","72%",NA,"sour vanila, heavy roast",2.5
"Ghana","65%",NA,"oily, caramel ""rolo"", sweet",2.75
"Madagascar","72%",3,"fatty, bland, very astringent",2.75
"Madagascar","76%",4,"fatty, sour, spoiled",2.75
"Madagascar","80%",4,"fatty, bitter, sour",2.75
"Madagascar","70%",NA,"oily, fatty, citrus",3
"Madagascar","68%",NA,"oily, nutty, fatty",3
"Madagascar","64%",NA,"sandy, mild citrus, sweet",3.25
"Guatemala","78%",3,"rich cocoa, fruit, bitter, molasses",3.5
"Bolivia","70%",2,"peanut butter, coffee, mint",3.25
"Bolivia","70%",2,"complex, nibs too soft",3.25
"Bolivia","70%",2,"smokey, earthy, nutty",2.75
"Guatemala","70%",2,"earthy, sour, intense",3
"Dominican Republic","70%",2,"dark berry, roasty",3.25
"Blend","70%",3,"sweet, fruity, heavy roast",3.25
"Blend","90%",3,"mellow fruit, tart, mild bitter",3.75
"Dominican Republic","90%",3,"intense, cocoa, spicy, fruit",3.25
"Trinidad","75%",3,"spicy, roasty, acidic, dairy",3.5
"Ecuador","75%",3,"spicy, nutmeg, brownie",3.5
"Guatemala","75%",2,"earthy, harsh, acidic",2.75
"Dominican Republic","75%",2,"roasty, berry notes",3
"Blend","70%",3,"nutty, grassy, cocoa",3.5
"Ecuador","75%",2,"floral & fruit",3.5
"Vietnam","70%",4,"spicy, dairy",3.5
"Peru","75%",3,"sandy, sweet, nutty",3
"Ecuador","100%",NA,"bland, mild fruit, strong bitter",2
"Ecuador","90%",NA,"some fruit, strong bitter",2
"Ecuador","75%",NA,"cocoa,earthy,very astringent",3
"Ecuador","65%",3,"sticky, cocoa, earthy",3
"Madagascar","77%",2,"intense, tart, sour, raisin",2.75
"Guatemala","77%",2,"creamy, cocoa, pungent",2.75
"Belize","77%",2,"mild metallic, brownie, earth",3
"Venezuela","77%",2,"intense, mild bitter, roasty",3
"Peru","77%",2,"chalky, peach, bland",3.25
"Peru","70%",5,"pungent, metallic",2.5
"Venezuela","70%",5,"nutty, off notes",2.5
"Dominican Republic","70%",5,"sweet, simple, cocoa",3
"Bolivia","70%",5,"earthy, vanilla",2.5
"Haiti","70%",5,"vanilla, late cocoa notes",2.5
"Dominican Republic","70%",2,"dry, rich, roasty",3.5
"Peru","70%",2,"grapes, pungent",3.5
"Samoa","77%",2,"earthy, roasty",3
"Tanzania","68%",3,"nuts, fruit, poor aftertaste",3
"Bolivia","72%",3,"creamy, fruit, poor aftertaste",3
"Philippines","74%",3,"nutty, roasted cherry, coffee",3.5
"Uganda","72%",3,"nutty, cocoa, yogurt",3.5
"Honduras","74%",2,"brownie, nutty, roasty",3.75
"Trinidad","72%",3,"complex, mild tobacco, nut, fruit",3.75
"Colombia","72%",3,"hint of caramel, alcohol, vegetal",3.5
"Jamaica","72%",3,"smooth, toffee, nutty, cocoa",3.75
"India","72%",3,"creamy, balanced, cocoa, fruity",3.75
"Ecuador","77%",3,"complex, hazelnut, dairy, fruit",4
"Ghana","72%",NA,"sticky, dry, vanilla dominates",2.5
"Peru","75%",3,"light color, grit, metallic",2.5
"Peru","89%",3,"slow develop, bitter, metallic",2.75
"Peru","75%",3,"mild, metallic",2.75
"Peru","75%",3,"sandy, sweet, coffee",3.25
"Peru","70%",3,"sandy, rich, earthy",3
"Venezuela","72%",3,"creamy, earthy, nutty",3.25
"Madagascar","71%",3,"dry, mild fruit",3
"Venezuela","72%",3,"dry, nutty, cocoa",3.5
"Indonesia","69%",3,"smokey, fruity, sour",3.75
"Indonesia","100%",NA,"fruit, strong smoke, bitter",2.25
"Colombia","88%",3,"mild nutty and fruit, savory",3
"Colombia","70%",3,"rich cocoa, spicy, cinamon",4
"Venezuela","74%",3,"nutty, rubber",3
"Bolivia","76%",3,"nutty, fig, short length",3.5
"Ghana","75%",3,"strong malt, choco pudding",3.75
"Belize","68%",3,"flat, molasses, creamy",3.25
"Venezuela","70%",3,"intense, creamy, nutty",3.5
"Dominican Republic","70%",3,"dairy, caramel, brownie, nutty",3.5
"Dominican Republic","70%",2,"brownie, fruit, fudge",3.5
"Venezuela","70%",2,"nutty, tart, coffee",4
"Ecuador","70%",2,"mild fruit, chemical off",2.5
"Costa Rica","70%",2,"roasty, metallic, coffee",3
"Madagascar","70%",3,"melon",3.25
"Ecuador","70%",2,"intense, bourbon",3.25
"Trinidad","70%",2,"creamy, woody, mild metallic",3.5
"Peru","70%",2,"sandy, intense, mild nutty",3
"Tanzania","70%",2,"short, tart, fruit, sweet edge",3
"Dominican Republic","66%",5,"salt noticeable, vanilla",3
"El Salvador","65%",4,"overly sweet, dirty",2.75
"El Salvador","75%",4,"coarse, sweet, candy, licorice",3
"El Salvador","70%",4,"nutty, basic cocoa",3.25
"Tanzania","73%",2,"sandy, earthy, hint of tang",3.25
"Peru","70%",2,"burnt caramel, grapes",3.5
"Nicaragua","72%",2,"sandy, roasty, fig, late spiciness",3.5
"Dominican Republic","70%",2,"spciy, cardamom, off flavor",2.5
"Madagascar","70%",2,"sour milk, molasses, sweet",2.75
"Trinidad","70%",3,"nutty, fruity, sweet",3.25
"Vietnam","70%",3,"tart, cherry, cocoa, mild sour",3.5
"Dominican Republic","70%",3,"sweet, rich, cocoa, fruity",3.5
"Bolivia","70%",3,"sweet, tart, sour",3
"Papua New Guinea","70%",3,"heavy smoke, fruit, ham",3
"Blend","60%",3,"very sweet, heavy roast, nuts",3
"Dominican Republic","70%",3,"nutty, earthy, hammy",3.25
"Madagascar","70%",3,"sandy, mild sour, mild fruit",3.25
"Peru","70%",3,"sandy, nutty, mocha",3.25
"Belize","70%",3,"rich base cocoa, sweet",3.5
"Ecuador","70%",3,"sticky, off notes of rubber",2.75
"Trinidad","85%",3,"sticky, strong bitter, spice",2.75
"Tanzania","85%",3,"melon, mild tart, bitter, fatty",3
"Madagascar","70%",3,"sticky, mellow choco, dairy",3.5
"Tanzania","70%",3,"smoke, tart, burnt cocoa",3.5
"Trinidad","78%",2,"tobacco, over roasted",3.5
"Bolivia","68%",4,"oily, honey, light rum",3.5
"Papua New Guinea","66%",4,"toffee, caramel, butterscotch",3.5
"Bolivia","72%",4,"intense prune and berry",3.75
"Blend","65%",5,"oily, sweet, choco, nutty",3.25
"Solomon Islands","78%",4,"smokey, dried fruit, balanced",3.75
"Nicaragua","72%",3,"intense earthy",3
"DR Congo","68%",3,"fatty, herbal, earthy",3
"Nicaragua","75%",3,"sandy, basic cocoa",3.25
"Nicaragua","70%",3,"large grits, sweet, dried fruit",3.75
"Brazil","65%",4,"woody, butterscotch",3
"Congo","65%",4,"dairy, salt, caramel",3
"India","62%",4,"oily, subdued, caramel, salt",3.25
"India","65%",4,"creamy, masculine, earthy",3.5
"Peru","70%",4,"creamy, fatty, mild nutty",3.75
"Peru","70%",4,"woody, toast, pepper",3
"Ecuador","75%",4,"creamy, nutty, bready",3
"Papua New Guinea","75%",4,"hint of smoke, fruit",3
"Bolivia","90%",4,"smooth, intense blueberry",3.25
"Congo","68%",4,"creamy, caramel, salt, sweet",3.25
"Panama","72%",4,"oily, earthy, caramel, salty",3.5
"Blend","65%",4,"dairy, burnt caramel, coffee",3.5
"Peru","70%",4,"butterscotch, pepper",3.5
"Blend","58%",4,"smooth, spicy, floral",3.5
"Dominican Republic","62%",4,"spice, caramel, toffee, salty",3.75
"Dominican Republic","70%",4,"strawberry, Cadbury egg",3.75
"Blend","80%",4,"waxy, cloying, vegetal",2.75
"Colombia","75%",3,"strong nutty, marshmallow",3.75
"Blend","75%",3,"fatty, earthy, cocoa",3
"Congo","70%",3,"fatty, mild nuts, mild fruit",3.25
"Belize","72%",3,"muted, roasty, accessible",3.5
